component_name,component_set_name,week,insertions,detachments
"Type=Filter, Platform=Desktop, State=Default",Search bar,2025-12-28,7,0
"Left action=Close (X), Action=Text action",Top bar (iOS),2025-12-28,25,0
Top bar=Off,Action sheet,2025-12-28,2,1
"Platform=Web, Type=Icon link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-28,36,0
Icon - Spinner,,2025-12-28,6,0
"Platform=Web, Type=Default",Notifications,2025-12-28,2,0
Platform=iOS: iPhone X (and newer),Status bar,2025-12-28,185,1
"State=Default, Badge=Yes",Dropdown Icon Trigger,2025-12-28,16,0
Icon - Heart (Outlined),,2025-12-28,107,0
State=Focus,Reminder button,2025-12-28,1,0
"Platform=App, Type=Default",Notifications,2025-12-28,1,0
"Left action=None, Action=None",Top bar (iOS),2025-12-28,1,0
State=Hover,Reminder button,2025-12-28,1,0
Platform=Android,Status bar,2025-12-28,22,0
Icon - View mondrian,,2025-12-28,1,0
"Platform=iOS, Type=Icon link, State=Default, Size=Small",🚧 [DEPRECATED] Link,2025-12-28,1,0
Icon - Jeans,,2025-12-28,9,0
"Platform=App, State=Transient",Icon button - Add to bag,2025-12-28,1,0
Platform=iOS,Top bar catalogue,2025-12-28,27,0
Icon - Jackets,,2025-12-28,15,0
Size=16px (S),Spacer,2025-12-28,4,0
Type=Scrollable,Drawer,2025-12-28,1,0
Platform=App,Icon button - More,2025-12-28,7,0
"Type=Secondary, State=Default, Size=Default",Button,2025-12-28,60,6
"State=Default, Optional=No, Message=None",Text area,2025-12-28,12,0
Icon - Eye Open,,2025-12-28,49,0
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=Error",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,2,0
Icon - Equalizer,,2025-12-28,1,0
"Number=Single, Resize=Original",Badge,2025-12-28,4,0
"Type=Default, State=Selected",Dropdown Trigger (default),2025-12-28,3,0
Platform=Web,Icon button - More,2025-12-28,22,1
Background colour=White,Table cells,2025-12-28,30,0
"On/off=No, State=Enabled",Switch,2025-12-28,21,0
"Checked=Off, State=Default",Checkbox,2025-12-28,27,0
Alignment=Auto-width,Tabs group,2025-12-28,4,0
"Type=Filter, Platform=mWeb, State=Focused filled",Search bar,2025-12-28,1,0
Icon - Expand Arrow,,2025-12-28,14,0
Icon - Bell Set (Filled),,2025-12-28,1,0
"Platform=App, Size=Small (40x40), Outline=No, State=Deselected",Icon button - Wishlist,2025-12-28,53,0
"Type=Filter, Platform=mWeb, State=Default",Search bar,2025-12-28,2,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=None",Text input,2025-12-28,7,0
"Expanded=Off, State=Hover (web), Style=Regular",Accordion (Default),2025-12-28,7,0
"Thickness=1px, Colour=Black",Divider (Horizontal),2025-12-28,26,0
"State=Selected, Type=Default",🚧 [DEPRECATED] Selector,2025-12-28,48,0
"Type=Default, State=Active, Label=Off, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,1,0
Type=3. Halftime,Image ratio,2025-12-28,4,0
"Viewport=iOS: 375+, Selected tab=Categories",Navigation bar,2025-12-28,9,0
"Type=Filter, Platform=iOS, State=Focused filled",Search bar,2025-12-28,2,0
"Type=Follow button, Lines=Single, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,2025-12-28,8,0
Type=Left,Icon button - Navigation arrow,2025-12-28,33,0
Icon - Zalando Logo Mark (Filled),,2025-12-28,478,0
"Checked=Off, State=Pressed",Checkbox,2025-12-28,1,0
Icon - Checkmark,,2025-12-28,59,3
"Platform=Web, Size=Large (48x48), Outline=No, State=Deselected",Icon button - Wishlist,2025-12-28,377,0
"Type=Tertiary, State=Loading, Size=Default",Button,2025-12-28,3,0
Type=Strong (Designer),Flag,2025-12-28,459,0
Icon - Heart (Filled),,2025-12-28,25,0
Icon - Price info,,2025-12-28,1,0
