component_name,component_set_name,week,insertions,detachments
Wardrobe | Title (App + mWeb),,2025-12-28,1,0
"Platform=Apps, Follows Brand=false",Follow Brand,2025-12-28,1,0
"Platform=App & mWeb, Rating=High",Reviews/Read/Overview,2025-12-28,26,0
"Brand=Sephora, Platform=Web, Zalando logo=Off, Breakpoint=1280+",Brand experience sticky-bar,2025-12-28,1,0
"Platform=Desktop, Rows=One",(DEPRECATED) Colour Picker [MIN 2 Thumbnails],2025-12-28,7,0
"Platform=Mobile web, Type=Many images",.Image Gallery (deprecated),2025-12-28,1,0
"Single Size=False, State=Selected",Size Picker - Entry Point,2025-12-28,34,0
"Platform=App, Real Data?=Yes",Detail - Tile,2025-12-28,1,0
Type=Plus Premium delivery,Fulfillment flag,2025-12-28,192,0
Type=Pre-invite,Hyped Articles Message,2025-12-28,7,0
"Sale=False, From (price)=False, Breakpoint=1280+",🚧 [deprecated] Product price,2025-12-28,92,0
"Sale=False, From (price)=False, Breakpoint=768 - 1023",🚧 [deprecated] Product price,2025-12-28,8,0
"Sale=False, From (price)=True, Breakpoint=375 - 479",🚧 [deprecated] Product price,2025-12-28,0,1
Platform=App & mWeb,"Brand + item name, pricing",2025-12-28,7,0
"Platform=Desktop, Type=2 - Returns",USPs,2025-12-28,10,0
Viewport=App/mWeb,Early Access header,2025-12-28,7,0
"Breakpoint=Mobile, Insightful=False, Text review=True",Reviews/Read/Written Reviews,2025-12-28,2,0
"Single Size=False, State=Default",Size Picker - Entry Point,2025-12-28,9,0
"Type=Standard, Sale=True, From (price)=True",Product Card | Catalogue (App),2025-12-28,62,0
Type=Discover,Payment Logo,2025-12-28,1,0
Platform=mWeb & Apps,DSA Report a legal concern,2025-12-28,7,0
"Type=Standard, Breakpoints=768 - 1023, Sale=False, From (price)=False",Product Card | Catalogue (Web),2025-12-28,2,0
"Type=Standard, Sale=False, From (price)=False",Product Card | Catalogue (App),2025-12-28,190,0
"Platform=Desktop, Sold & shipped=Mixed",Partner information,2025-12-28,3,0
"Type=Standard, Breakpoints=375 - 479, Sale=False, From (price)=True",Product Card | Catalogue (Web),2025-12-28,0,1
Platform=App & mWeb,"Brand + item name, pricing",2025-12-28,7,0
"Type=Standard, Size=1280+, Header=Yes",Carousel ,2025-12-28,9,0
"Platform=App, # Items=03, View All=No",Tile,2025-12-28,7,0
"Platform=App & mWeb, Type=3 - Sell it back",USPs,2025-12-28,1,0
Type=PayPal,Payment Logo,2025-12-28,1,0
"Platform=Desktop, Ratings=True, Reviews=True, Insightful=False, Pills=False",Reviews/Read/Entry Point,2025-12-28,7,0
"Sale=True, From (price)=True, Breakpoint=375 - 479",🚧 [deprecated] Product price,2025-12-28,153,0
"Platform=Apps, Single colour=False",Colour Picker [Thumbnails],2025-12-28,7,0
"Platform=App & mWeb, Sold & shipped=Zalando",Partner information,2025-12-28,7,0
"Breakpoint=769+, Type=Beauty",Product Card | Cart Web,2025-12-28,1,0
"Paragraph=false, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),2025-12-28,9,0
"Breakpoint=Desktop, Icon=False, Info Button=False, Plus=False, Link=True",Incentive Banner,2025-12-28,7,0
"Type=Outfit, Size=375 - 479, Header=Yes",Carousel ,2025-12-28,8,0
"Platform=iOS, Type=Many images",.Image Gallery (deprecated),2025-12-28,7,0
"Breakpoint=Mobile, Icon=True, Info Button=True, Plus=False, Link=True",Incentive Banner,2025-12-28,6,0
"Breakpoint=769+, Type=Standard",Product Card | Cart Web,2025-12-28,2,0
"Type=Standard, Colour=White, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),2025-12-28,35,0
Type=American Express,Payment Logo,2025-12-28,1,0
Platform=Desktop,DSA Report a legal concern,2025-12-28,3,0
Type=Visa,Payment Logo,2025-12-28,1,0
"Platform=App & mWeb, Returned=False, Size Flag=False, Size Reco=False",Repurchase messaging,2025-12-28,7,0
Platform=App & mWeb,"Brand + item name, pricing",2025-12-28,7,0
"Sale=False, From (price)=False, Breakpoint=375 - 479",🚧 [deprecated] Product price,2025-12-28,212,1
"Platform=mWeb & apps, Status=Fashion - In stock",Size + Primary CTA + Wishlist,2025-12-28,1,1
Membership linked=false,Nike Exclusives,2025-12-28,7,0
Message=Size recommendation,Size Advice,2025-12-28,0,1
"Type=Outfit, Size=1280+, Header=Yes",Carousel ,2025-12-28,7,0
"Platform=Desktop, Type=3 - Sell it back",USPs,2025-12-28,10,0
Type=SEPA,Payment Logo,2025-12-28,1,0
