team_name,week,insertions,detachments
3_The Studio,2025-12-28,56,0
1_Payments Solutions (ZPS),2025-12-28,318,2
1_FPX,2025-12-28,19,5
<Drafts>,2025-12-28,429,0
2_Size & Fit,2025-12-28,300,0
3_BD_Campaign design,2025-12-28,620,0
1_CXP_All,2025-12-28,58,0
ZMS PI&D Team,2025-12-28,75,0
1_PRSB,2025-12-28,37,0
2_Size & Fit,2025-12-21,524,1
2_Propositions,2025-12-21,6,0
2. Activate,2025-12-21,28,0
ZMS PI&D Team,2025-12-21,345,3
1_Payments Solutions (ZPS),2025-12-21,420,0
3_The Studio,2025-12-21,564,0
1_FPX,2025-12-21,388,4
<Drafts>,2025-12-21,1818,0
3_Elephant Feed,2025-12-21,10,0
1_PRSB,2025-12-21,222,0
1_Transactions,2025-12-14,44,0
3_ZDS,2025-12-14,1373,0
1_Payments Solutions (ZPS),2025-12-14,1527,0
3_BD_Campaign design,2025-12-14,3584,0
<Drafts>,2025-12-14,2541,2
2_Loyalty_Plus Points Program,2025-12-14,608,0
3_Elephant Feed,2025-12-14,1606,1
1_CXP_All,2025-12-14,244,5
2_Propositions,2025-12-14,2742,1
3_The Studio,2025-12-14,980,1
1_FPX,2025-12-14,380,3
2_Size & Fit,2025-12-14,1218,0
Fulfillment - FFC,2025-12-14,19,1
1_PRSB,2025-12-14,151,0
ZMS PI&D Team,2025-12-14,1397,1
Partner Tech,2025-12-07,65,0
1_Transactions,2025-12-07,72,2
3_BD_Campaign design,2025-12-07,3571,0
3_The Studio,2025-12-07,3760,0
2_Propositions,2025-12-07,4420,10
1_FPX,2025-12-07,451,0
3_Elephant Feed,2025-12-07,2461,0
3_ZDS,2025-12-07,3700,12
1_CXP_All,2025-12-07,1252,1
2_Loyalty_Plus Points Program,2025-12-07,525,2
7_ZMS Creative,2025-12-07,19,0
1_PRSB,2025-12-07,79,0
<Drafts>,2025-12-07,4551,1
2. Activate,2025-12-07,61,0
1_Payments Solutions (ZPS),2025-12-07,541,13
2_Size & Fit,2025-12-07,542,0
ZMS PI&D Team,2025-12-07,161,0
1_Payments Solutions (ZPS),2025-11-30,203,0
3_ZDS,2025-11-30,3028,1
2_Propositions,2025-11-30,5971,9
1_CXP_All,2025-11-30,883,1
2_Size & Fit,2025-11-30,514,3
1_FPX,2025-11-30,2116,0
ZMS PI&D Team,2025-11-30,1487,2
3_Elephant Feed,2025-11-30,2842,1
7_ZMS Creative,2025-11-30,78,0
1_Transactions,2025-11-30,888,0
3_The Studio,2025-11-30,2575,2
Fulfillment – WMS,2025-11-30,34,0
3_BD_Campaign design,2025-11-30,887,0
<Drafts>,2025-11-30,3086,1
2_Loyalty_Plus Points Program,2025-11-30,240,0
1_PRSB,2025-11-30,324,0
2_Loyalty_Plus Points Program,2025-11-23,1058,0
3_The Studio,2025-11-23,3588,10
<Drafts>,2025-11-23,3937,2
3_ZDS,2025-11-23,2593,5
3_BD_Campaign design,2025-11-23,3978,0
3_BD_Performance design,2025-11-23,50,0
2_Size & Fit,2025-11-23,1376,3
1_FPX,2025-11-23,1341,24
3_Elephant Feed,2025-11-23,1762,0
ZMS PI&D Team,2025-11-23,1903,7
1_Transactions,2025-11-23,306,0
1_Payments Solutions (ZPS),2025-11-23,791,3
1_PRSB,2025-11-23,881,3
Design Lobby,2025-11-23,18,0
1_CXP_All,2025-11-23,406,1
Fulfillment - FFC,2025-11-23,20,0
7_ZMS Creative,2025-11-23,12,0
2_Propositions,2025-11-23,7193,12
ZMS PI&D Team,2025-11-16,894,3
Partner Tech - Tech & Data Foundation,2025-11-16,33,0
6_Zeos,2025-11-16,1,0
2_Size & Fit,2025-11-16,2218,2
4. Decide,2025-11-16,6,0
3_BD_Campaign design,2025-11-16,3039,0
1_FPX,2025-11-16,2222,0
<Drafts>,2025-11-16,5189,8
7_ZMS Creative,2025-11-16,12,0
2_Propositions,2025-11-16,1301,3
3_The Studio,2025-11-16,2116,5
1_Transactions,2025-11-16,143,0
1_CXP_All,2025-11-16,1917,4
3_ZDS,2025-11-16,3806,7
2_Loyalty_Plus Points Program,2025-11-16,104,0
1_Payments Solutions (ZPS),2025-11-16,970,3
3_BD_Performance design,2025-11-16,150,0
ZDS NEXT LIBRARIES,2025-11-16,6,0
ZMS Landing page,2025-11-16,65,0
1_PRSB,2025-11-16,765,2
Fulfillment - FFC,2025-11-16,29,0
3_Elephant Feed,2025-11-16,791,0
Fulfillment - FFC,2025-11-09,154,1
3_The Studio,2025-11-09,119,0
3_BD_Performance design,2025-11-09,20,0
6_Zeos,2025-11-09,21,1
1_PRSB,2025-11-09,440,0
3_Content Design,2025-11-09,106,0
3_Elephant Feed,2025-11-09,3523,0
3_Sustainability,2025-11-09,428,0
7. LUX,2025-11-09,12,0
3_BD_Campaign design,2025-11-09,2426,0
2_Size & Fit,2025-11-09,2611,0
2_Propositions,2025-11-09,3067,14
1_Payments Solutions (ZPS),2025-11-09,873,8
Design Lobby,2025-11-09,335,0
2_Loyalty_Plus Points Program,2025-11-09,1149,0
1_CXP_All,2025-11-09,980,6
<Drafts>,2025-11-09,4439,7
1_FPX,2025-11-09,2084,0
2. Activate,2025-11-09,71,0
1_Transactions,2025-11-09,343,0
ZMS PI&D Team,2025-11-09,60,0
6. Grow,2025-11-09,1,0
3_ZDS,2025-11-09,4004,3
3_BD_Performance design,2025-11-02,296,0
2_Propositions,2025-11-02,2653,1
1_Payments Solutions (ZPS),2025-11-02,360,2
Design Lobby,2025-11-02,19,0
1_CXP_All,2025-11-02,1792,2
2_Size & Fit,2025-11-02,345,2
1_PRSB,2025-11-02,336,0
1_FPX,2025-11-02,191,1
Fulfillment - FFC,2025-11-02,497,0
3_ZDS,2025-11-02,7864,4
2_Loyalty_Plus Points Program,2025-11-02,337,0
3_BD_Campaign design,2025-11-02,2007,0
3_Elephant Feed,2025-11-02,4825,0
4. Decide,2025-11-02,6,0
3_The Studio,2025-11-02,744,0
3_BD_Identity,2025-11-02,24,0
<Drafts>,2025-11-02,1898,0
1_Transactions,2025-11-02,269,0
ZDS NEXT LIBRARIES,2025-10-26,8,1
2_Propositions,2025-10-26,1127,3
3_ZDS,2025-10-26,3386,2
4. Decide,2025-10-26,18,0
2_Size & Fit,2025-10-26,334,1
1_Payments Solutions (ZPS),2025-10-26,154,0
3_BD_Performance design,2025-10-26,1688,0
1_Transactions,2025-10-26,111,0
1_FPX,2025-10-26,1021,1
3_The Studio,2025-10-26,4044,2
Fulfillment - FFC,2025-10-26,272,0
ZMS PI&D Team,2025-10-26,1760,0
7_Content Solutions,2025-10-26,52,0
6. Grow,2025-10-26,2,0
1_CXP_All,2025-10-26,222,0
3_D&I,2025-10-26,239,2
2_Loyalty_Plus Points Program,2025-10-26,1474,2
<Drafts>,2025-10-26,3033,12
1_PRSB,2025-10-26,568,0
3_Elephant Feed,2025-10-26,3268,0
3_BD_Campaign design,2025-10-26,575,0
3_BD_Identity,2025-10-26,19,0
1_Payments Solutions (ZPS),2025-10-19,262,6
2. Activate,2025-10-19,320,1
3_BD_Performance design,2025-10-19,709,0
3_BD_Campaign design,2025-10-19,79,0
3_The Studio,2025-10-19,877,0
2_Size & Fit,2025-10-19,1577,1
1_Transactions,2025-10-19,37,1
2_Loyalty_Plus Points Program,2025-10-19,3497,1
1_FPX,2025-10-19,809,3
2_Propositions,2025-10-19,3734,3
3_Elephant Feed,2025-10-19,361,0
1_PRSB,2025-10-19,174,0
3_ZDS,2025-10-19,1752,3
ZMS PI&D Team,2025-10-19,1084,0
Fulfillment - FFC,2025-10-19,559,1
Fulfillment - CuCa,2025-10-19,236,0
<Drafts>,2025-10-19,5468,11
1_CXP_All,2025-10-19,1746,1
3_BD_Identity,2025-10-12,210,6
1_FPX,2025-10-12,1067,0
1_Transactions,2025-10-12,96,0
Unified documentation,2025-10-12,52,0
1_PRSB,2025-10-12,1496,0
3_BD_Performance design,2025-10-12,2264,1
ZMS PI&D Team,2025-10-12,2754,1
2_Size & Fit,2025-10-12,1491,3
3_ZDS,2025-10-12,2281,4
ZDS NEXT LIBRARIES,2025-10-12,108,0
Fulfillment - CuCa,2025-10-12,84,0
1_Payments Solutions (ZPS),2025-10-12,614,6
2_Loyalty_Plus Points Program,2025-10-12,3363,0
2. Activate,2025-10-12,1821,0
3_Elephant Feed,2025-10-12,5629,2
1_CXP_All,2025-10-12,85,0
<Drafts>,2025-10-12,3730,1
2_Propositions,2025-10-12,6547,8
3_The Studio,2025-10-12,573,2
1_CXP_All,2025-10-05,175,0
ZDS NEXT LIBRARIES,2025-10-05,970,3
Partner Tech - Articles,2025-10-05,7,0
3_BD_Identity,2025-10-05,23,0
2. Activate,2025-10-05,145,0
1_Payments Solutions (ZPS),2025-10-05,1699,10
3_The Studio,2025-10-05,453,0
<Drafts>,2025-10-05,6505,9
ZMS PI&D Team,2025-10-05,1219,1
2_Size & Fit,2025-10-05,628,0
1_FPX,2025-10-05,1321,1
3_BD_Performance design,2025-10-05,7114,0
3_ZDS,2025-10-05,7369,2
Fulfillment - FFC,2025-10-05,649,0
6. Grow,2025-10-05,3,0
3_Elephant Feed,2025-10-05,25810,5
1_Transactions,2025-10-05,140,0
2_Propositions,2025-10-05,2700,7
1_PRSB,2025-10-05,1196,3
2_Loyalty_Plus Points Program,2025-10-05,1494,0
3_Sustainability,2025-09-28,72,0
Design Lobby,2025-09-28,4,0
ZMS PI&D Team,2025-09-28,706,0
1_Payments Solutions (ZPS),2025-09-28,648,8
1_CXP_All,2025-09-28,35,1
1_Transactions,2025-09-28,39,0
3. Discover,2025-09-28,12,0
2_Propositions,2025-09-28,902,2
ZDS NEXT LIBRARIES,2025-09-28,6,2
2_Loyalty_Plus Points Program,2025-09-28,527,0
Fulfillment - FFC,2025-09-28,1094,0
1_FPX,2025-09-28,1142,0
2_Size & Fit,2025-09-28,812,5
7_ZMS Creative,2025-09-28,72,0
3_ZDS,2025-09-28,4510,0
<Drafts>,2025-09-28,4516,1
1_PRSB,2025-09-28,971,0
3_Elephant Feed,2025-09-28,1687,0
3_BD_Performance design,2025-09-28,1805,0
3_The Studio,2025-09-28,660,0
2_Loyalty_Plus Points Program,2025-09-21,2673,1
3. Discover,2025-09-21,350,0
Team not visible,2025-09-21,1,0
1_Payments Solutions (ZPS),2025-09-21,203,0
2_Propositions,2025-09-21,5729,3
4. Decide,2025-09-21,55,0
3_BD_Performance design,2025-09-21,65,0
Fulfillment - FFC,2025-09-21,150,0
1_FPX,2025-09-21,1258,5
6. Grow,2025-09-21,5,0
1_Transactions,2025-09-21,109,1
2_Size & Fit,2025-09-21,1947,1
3_Elephant Feed,2025-09-21,707,0
2. Activate,2025-09-21,153,0
3_ZDS,2025-09-21,1947,1
1_CXP_All,2025-09-21,291,1
<Drafts>,2025-09-21,3851,5
7_ZMS Creative,2025-09-21,24,0
Design Lobby,2025-09-21,21,0
Partner Tech,2025-09-21,13,0
3_Sustainability,2025-09-21,2,0
ZDS NEXT LIBRARIES,2025-09-21,345,0
3_The Studio,2025-09-21,2008,1
1_PRSB,2025-09-21,1392,0
ZMS PI&D Team,2025-09-21,380,0
ZMS PI&D Team,2025-09-14,901,0
3_The Studio,2025-09-14,660,0
<Drafts>,2025-09-14,2680,5
2_Loyalty_Plus Points Program,2025-09-14,313,4
3_ZDS,2025-09-14,8072,0
3_BD_Corporate Design,2025-09-14,2,0
ZDS NEXT LIBRARIES,2025-09-14,1069,1
3_D&I,2025-09-14,372,0
3_Elephant Feed,2025-09-14,790,0
3_BD_Performance design,2025-09-14,78,1
1_CXP_All,2025-09-14,2098,1
2_Propositions,2025-09-14,2327,2
1_Transactions,2025-09-14,163,0
1_FPX,2025-09-14,380,0
2_Size & Fit,2025-09-14,1768,9
1_Payments Solutions (ZPS),2025-09-14,712,1
6. Grow,2025-09-14,39,0
2. Activate,2025-09-14,12,0
3_BD_Campaign design,2025-09-14,19,0
Partner Tech,2025-09-14,27,0
3_Content Design,2025-09-14,21,0
1_PRSB,2025-09-14,3825,0
2. Activate,2025-09-07,198,0
3_The Studio,2025-09-07,445,0
1_FPX,2025-09-07,1891,1
2_Size & Fit,2025-09-07,1989,6
ZDS NEXT LIBRARIES,2025-09-07,2765,5
2_Propositions,2025-09-07,1225,1
2_Loyalty_Plus Points Program,2025-09-07,1831,14
1_CXP_All,2025-09-07,3255,2
ZMS PI&D Team,2025-09-07,130,0
3_Sustainability,2025-09-07,1710,0
<Drafts>,2025-09-07,2293,5
1_PRSB,2025-09-07,1383,2
Fulfillment - FFC,2025-09-07,2,0
3_Elephant Feed,2025-09-07,2134,0
3_ZDS,2025-09-07,3337,0
1_Payments Solutions (ZPS),2025-09-07,359,4
1_Transactions,2025-09-07,104,0
6. Grow,2025-09-07,13,0
Partner Tech,2025-09-07,9,0
3_D&I,2025-09-07,10,0
2_Loyalty_Plus Points Program,2025-08-31,1961,1
3_Sustainability,2025-08-31,1392,0
ZMS PI&D Team,2025-08-31,614,0
2_Propositions,2025-08-31,1920,4
3_BD_Corporate Design,2025-08-31,3,0
1_CXP_All,2025-08-31,5216,2
1_Transactions,2025-08-31,731,1
ZDS NEXT LIBRARIES,2025-08-31,2911,1
3_The Studio,2025-08-31,6,1
3_ZDS,2025-08-31,810,0
3_Elephant Feed,2025-08-31,3799,0
6. Grow,2025-08-31,23,0
3_BD_Campaign design,2025-08-31,184,0
<Drafts>,2025-08-31,5621,14
