component_name,component_set_name,file_name,instances
"Type=Standard, Sale=False, From (price)=False",Product Card | Catalogue (App),Unknown File,0
Sponsored indicator,,Unknown File,0
Type=Plus Premium delivery,Fulfillment flag,Unknown File,0
"Sale=False, From (price)=False, Breakpoint=1280+",🚧 [deprecated] Product price,Unknown File,0
"Sale=False, From (price)=False, Breakpoint=375 - 479",🚧 [deprecated] Product price,Unknown File,0
"Type=Standard, Breakpoints=1280+, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Breakpoints=375 - 479, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Size=375 - 479, Header=Yes",Carousel ,Unknown File,0
"Type=Standard, Breakpoints=375 - 479, Sale=True, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Sale=True, From (price)=False",Product Card | Catalogue (App),Unknown File,0
"Sale=True, From (price)=True, Breakpoint=375 - 479",🚧 [deprecated] Product price,Unknown File,0
Type=Default,Flag,Unknown File,0
"Type=Standard, Colour=Default, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
Type=Long distance item,Fulfillment flag,Unknown File,0
Type=Liked - Standard,Product Card | Wardrobe (App),Unknown File,0
"Platform=App & mWeb, Type=1 - Free Delivery + Returns",USPs,Unknown File,0
"Type=Standard, Colour=White, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Single Size=False, State=Selected",Size Picker - Entry Point,Unknown File,0
"Type=Standard, Colour=Black, Sale=True, From (price)=True",Product Card | Reco Carousel (App),Unknown File,0
"Platform=iOS, Type=Many images",.Image Gallery (deprecated),Unknown File,0
"Platform=App & mWeb, Type=3 - Sell it back",USPs,Unknown File,0
Category=Default,Detail - Box,Unknown File,0
"Platform=App & mWeb, Ratings=True, Reviews=True, Insightful=False, Pills=False",Reviews/Read/Entry Point,Unknown File,0
"Type=Standard, Colour=Black, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
Type=AFC with item,Outfit Cards (App),Unknown File,0
"Type=Standard, Breakpoints=375 - 479, Sale=True, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
"Type=Outfit, Size=375 - 479, Header=Yes",Carousel ,Unknown File,0
"Type=Standard, Sale=False, From (price)=True",Product Card | Catalogue (App),Unknown File,0
"Type=Standard, Breakpoint=1280+",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Platform=iOS, Rows=One",(DEPRECATED) Colour Picker [MIN 2 Thumbnails],Unknown File,0
"Platform=App & mWeb, Beauty=False, Sale=False, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
"Type=Fashion, Sale=False, Flags=False, Delivery Type=Plus",Product Card Email,Unknown File,0
"Platform=App & mWeb, Type=2 - Returns",USPs,Unknown File,0
"Platform=App, Description=00, Header=No",Detail - List,Unknown File,0
"Single Size=False, State=Default",Size Picker - Entry Point,Unknown File,0
"Platform=Desktop, Type=1 - Free Delivery + Returns",USPs,Unknown File,0
"Platform=Desktop, Type=2 - Returns",USPs,Unknown File,0
"Platform=Desktop, Type=3 - Sell it back",USPs,Unknown File,0
"Type=Fashion, Sale=False, Flags=False, Delivery Type=None",Product Card Email,Unknown File,0
PDP Accordion / Details,,Unknown File,0
"Platform=App & mWeb, Rating=High",Reviews/Read/Overview,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
"Platform=Desktop, Rows=One",(DEPRECATED) Colour Picker [MIN 2 Thumbnails],Unknown File,0
"Type=Standard, Sale=False, Not available=False",Product Card | Cart,Unknown File,0
"Type=Default, Sale=Yes, Plus Flag=No",Product Card | Horizontal (Outfits),Unknown File,0
"Type=Beauty, Sale=False, From (price)=False",Product Card | Catalogue (App),Unknown File,0
"Type=Standard, Colour=White, Sale=True, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Type=Standard, Breakpoints=1024 - 1279, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Platform=App & mWeb, Sold & shipped=Zalando",Partner information,Unknown File,0
"Type=Standard, Colour=Black, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
Opened=False,PDP Accordion Base,Unknown File,0
"Type=Standard, Sale=True, Not available=False",Product Card | Cart,Unknown File,0
"Platform=Desktop, Type=Many images",.Image Gallery (deprecated),Unknown File,0
"Type=Standard, Size=1280+, Header=Yes",Carousel ,Unknown File,0
"Type=Standard, Colour=Default, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Colour=Black, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Breakpoints=375 - 479, Sale=False, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
Type=Liked - Beauty,Product Card | Wardrobe (App),Unknown File,0
"Platform=Apps, Single colour=False",Colour Picker [Thumbnails],Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
"Platform=App & mWeb, Beauty=False, Sale=True, Price drop=True",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
"Platform=Desktop, Ratings=True, Reviews=True, Insightful=False, Pills=False",Reviews/Read/Entry Point,Unknown File,0
Options=False,Newsletter banner (mWeb),Unknown File,0
"Type=Beauty, Breakpoints=1280+, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
Platform=mWeb & Apps,DSA Report a legal concern,Unknown File,0
Platform=App & mWeb,"Brand + item name, pricing",Unknown File,0
Platform=App & mWeb,"Brand + item name, pricing",Unknown File,0
"Sale=False, From (price)=False, Breakpoint=480 - 767",🚧 [deprecated] Product price,Unknown File,0
Type=Default,Flag,Unknown File,0
"Type=Standard, Delivery=None, Sale=False, Not available=Off",Product Card | Checkout,Unknown File,0
"Platform=App, Real Data?=Yes",Detail - Tile,Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Viewport=App/mWeb,Early Access header,Unknown File,0
"Type=Standard, Colour=White, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
Property 1=Review available,Ratings summary,Unknown File,0
"Type=Standard, Sale=True, From (price)=True",Product Card | Catalogue (App),Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Platform=App & mWeb,"Brand + item name, pricing",Unknown File,0
PDP Accordion / Material & care,,Unknown File,0
"Breakpoint=Mobile, Icon=True, Info Button=True, Plus=False, Link=True",Incentive Banner,Unknown File,0
"Platform=Apps, Follows Brand=false",Follow Brand,Unknown File,0
"Platform=App & mWeb, Returned=False, Size Flag=False, Size Reco=False",Repurchase messaging,Unknown File,0
"Platform=App, # Items=03, View All=No",Tile,Unknown File,0
"Platform=mWeb & apps, Status=Fashion - In stock",Size + Primary CTA + Wishlist,Unknown File,0
"Sale=True, From (price)=False, Breakpoint=375 - 479",🚧 [deprecated] Product price,Unknown File,0
"Type=Beauty, Breakpoints=375 - 479, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Colour=Black, Sale=True, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
Viewport=mWeb/App,EA PDP Storytelling,Unknown File,0
Membership linked=false,Nike Exclusives,Unknown File,0
"Platform=Desktop, Beauty=False, Sale=False, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
"Type=Default, Sale=Yes, Plus Flag=Yes",Product Card | Horizontal (Outfits),Unknown File,0
"Type=Default, Breakpoint=1280+",Outfit Cards (Web),Unknown File,0
"Type=Standard, Breakpoints=1280+, Sale=True, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
"Device=MobileWeb/Apps, Images=Yes, Illustration=No",CCC Tiles (NCR),Unknown File,0
Type=Pre-invite,Hyped Articles Message,Unknown File,0
Type=Mastercard,Payment Logo - square,Unknown File,0
"Sale=True, From (price)=False, Breakpoint=1280+",🚧 [deprecated] Product price,Unknown File,0
"Paragraph=false, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Paragraph=false, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Type=Visa,Payment Logo,Unknown File,0
Type=Branded,Outfit Cards (App),Unknown File,0
Message=Size recommendation,Size Advice,Unknown File,0
Type=American Express,Payment Logo,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=true",Showstopper (App),Unknown File,0
"Platform=Web, Description=00, Header=No",Detail - List,Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
