component_name,component_set_name,file_name,instances
"Thickness=1px, Colour=Grey",Divider (Horizontal),Unknown File,0
"Platform=Web, Size=Large (48x48), Outline=No, State=Deselected",Icon button - Wishlist,Unknown File,0
Type=Sale,Flag,Unknown File,0
Type=Default,🚧 [DEPRECATED] Plus short,Unknown File,0
Type=Positive,Flag,Unknown File,0
Type=Strong (Designer),Flag,Unknown File,0
Icon - Star (Filled),,Unknown File,0
Platform=iOS: iPhone X (and newer),Status bar,Unknown File,0
Icon -  Add,,Unknown File,0
Pill,,Unknown File,0
Icon - Heart (Outlined),,Unknown File,0
Icon - Chevron Down,,Unknown File,0
Icon - Information,,Unknown File,0
Icon - Share (iOS),,Unknown File,0
"State=Default, Type=Default",🚧 [DEPRECATED] Selector,Unknown File,0
Icon - Placeholder,,Unknown File,0
Icon - Cross (X),,Unknown File,0
"Viewport=iOS: 375+, Selected tab=Home",Navigation bar,Unknown File,0
Icon -  Arrow (Right),,Unknown File,0
Icon - Checkmark,,Unknown File,0
"Expanded=Off, State=Default, Style=Bold",Accordion (Default),Unknown File,0
Icon - Chevron Right,,Unknown File,0
Icon -  Arrow (Left),,Unknown File,0
Size=24px (M),Spacer,Unknown File,0
Icon - Play,,Unknown File,0
Icon -  Avatar A,,Unknown File,0
Icon - Heart (Filled),,Unknown File,0
Type=Light mode,Home indicator (iOS),Unknown File,0
"Platform=Web, Type=Standard link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
"With icon=True, State=Default, Size=Small",Follow button,Unknown File,0
Type=Right,Icon button - Navigation arrow,Unknown File,0
Icon - Enhancing,,Unknown File,0
"Left action=Back (Arrow), Action=None",Top bar (iOS),Unknown File,0
"Platform=App, State=Deselected",Icon button - Reminder,Unknown File,0
Icon - Zalando Logo Mark (Filled),,Unknown File,0
Icon - Shopping bag (empty),,Unknown File,0
Icon - Star (Half),,Unknown File,0
Icon - Finish,,Unknown File,0
"Type=Primary, State=Default, Size=Default",Button,Unknown File,0
"Type=Single/Multi-select, Lines=Single, State=Deselected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
Size=8px (XXS),Spacer,Unknown File,0
Icon - More,,Unknown File,0
Type=Informative,Input message,Unknown File,0
