variable_name,actions,week
text/:hover,0,2025-12-07
spacing/2xl,0,2025-12-07
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-12-07
background/negative,0,2025-12-07
spacing/m,0,2025-12-07
Object sizes/interactive/4xl-objectSize,0,2025-12-07
text/:pressed,0,2025-12-07
border-width/l,0,2025-12-07
text/secondary,0,2025-12-07
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-12-07
Object sizes/default/xxs-objectSize,0,2025-12-07
background/:pressed,0,2025-12-07
background/brand,0,2025-12-07
Object sizes/default/2xl-objectSize,0,2025-12-07
Object sizes/default/5xl-objectSize,0,2025-12-07
border-width/m,0,2025-12-07
border-radius/m,0,2025-12-07
text/:selected,0,2025-12-07
Object sizes/default/sm-objectSize,0,2025-12-07
border-radius/s,0,2025-12-07
Object sizes/interactive/xxs-objectSize,0,2025-12-07
spacing/s,0,2025-12-07
spacing/2xs,0,2025-12-07
Object sizes/interactive/sm-objectSize,0,2025-12-07
Object sizes/interactive/3xl-objectSize,0,2025-12-07
text/interactive,0,2025-12-07
background/overlay,0,2025-12-07
background/default,0,2025-12-07
Object sizes/default/4xl-objectSize,0,2025-12-07
background/sale,0,2025-12-07
background/secondary,0,2025-12-07
background/:selected,0,2025-12-07
Object sizes/interactive/xl-objectSize,0,2025-12-07
spacing/3xs,0,2025-12-07
Object sizes/default/xl-objectSize,0,2025-12-07
text/negative,0,2025-12-07
border/:selected,0,2025-12-07
border/primary,0,2025-12-07
border/negative,0,2025-12-07
border-radius/l,0,2025-12-07
background/positive,0,2025-12-07
border-radius/rounded,0,2025-12-07
opacity/disabled,0,2025-12-07
text/inverse,0,2025-12-07
border/positive,0,2025-12-07
spacing/xl,0,2025-12-07
spacing/none,0,2025-12-07
border-width/s,0,2025-12-07
spacing/xs,0,2025-12-07
border/:focus,0,2025-12-07
text/brand,0,2025-12-07
text/positive,0,2025-12-07
background/tertiary,0,2025-12-07
border/:hover,0,2025-12-07
text/primary,0,2025-12-07
background/:focus,0,2025-12-07
Object sizes/default/6xl-objectSize,0,2025-12-07
Object sizes/default/lg-objectSize,0,2025-12-07
background/primary,0,2025-12-07
text/sale,0,2025-12-07
spacing/l,0,2025-12-07
border/secondary,0,2025-12-07
Object sizes/interactive/6xl-objectSize,0,2025-12-07
border-radius/none,0,2025-12-07
border/interactive,0,2025-12-07
Object sizes/interactive/xs-objectSize,0,2025-12-07
border/:pressed,0,2025-12-07
text/:focus,0,2025-12-07
Object sizes/interactive/2xl-objectSize,0,2025-12-07
background/:hover,0,2025-12-07
Object sizes/interactive/lg-objectSize,0,2025-12-07
border/interactive,0,2025-11-30
border-radius/none,0,2025-11-30
background/sale,0,2025-11-30
Object sizes/interactive/6xl-objectSize,0,2025-11-30
border/secondary,0,2025-11-30
Object sizes/default/xl-objectSize,0,2025-11-30
Object sizes/interactive/md-objectSize,0,2025-11-30
text/inverse,0,2025-11-30
text/negative,0,2025-11-30
background/primary,0,2025-11-30
spacing/s,0,2025-11-30
Object sizes/default/sm-objectSize,0,2025-11-30
border-radius/rounded,0,2025-11-30
text/brand,0,2025-11-30
border-width/l,0,2025-11-30
Object sizes/interactive/2xl-objectSize,0,2025-11-30
text/secondary,0,2025-11-30
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-11-30
spacing/2xl,0,2025-11-30
border-radius/s,0,2025-11-30
border/:selected,0,2025-11-30
text/sale,0,2025-11-30
Object sizes/default/2xl-objectSize,0,2025-11-30
Object sizes/interactive/sm-objectSize,0,2025-11-30
background/overlay,0,2025-11-30
Object sizes/interactive/xl-objectSize,0,2025-11-30
spacing/xl,0,2025-11-30
Object sizes/default/3xl-objectSize,0,2025-11-30
Object sizes/default/4xl-objectSize,0,2025-11-30
spacing/m,0,2025-11-30
Object sizes/interactive/3xl-objectSize,0,2025-11-30
Object sizes/default/6xl-objectSize,0,2025-11-30
Object sizes/default/5xl-objectSize,0,2025-11-30
text/:selected,0,2025-11-30
Object sizes/interactive/lg-objectSize,0,2025-11-30
